Project_code,MPA,Year,Transect,Inside_Outside,Depth_m,Relief_cm,Flat_Rock,Cobble,Boulder,Sand,Macro_count,Macro_dens,Pterygophora,Laminaria,Eisenia,Egregia,Cystoseira,Plocamium,Other_Red,Coralline,Surfgrass,Lob_50,Lob_50-65,Lob_65-80,Lob_legal,Lob_total,Lob_dens
SC_lobster,South La Jolla State Marine Reserve,2012,4,Inside,13.9,5.0,41.00,28.25,15.25,15.50,0.05,0.004,52.00,8.50,0.00,0.00,0.00,11.00,0.75,1.50,0.00,0,0,5,0,5,0.021
SC_lobster,South La Jolla State Marine Reserve,2012,5,Inside,8.1,10.9,12.25,1.50,17.50,68.75,0.85,0.071,3.50,0.50,0.00,12.25,2.00,10.88,3.83,2.00,0.00,0,0,3,3,6,0.025
SC_lobster,South La Jolla State Marine Reserve,2012,6,Inside,8.4,32.8,16.75,23.00,18.25,43.50,0.3,0.025,30.75,11.25,0.00,2.00,8.00,6.00,0.25,0.50,0.50,0,0,2,2,4,0.017
SC_lobster,South La Jolla State Marine Reserve,2012,7,Inside,10.7,0.0,93.50,0.00,6.50,0.00,0.25,0.021,78.25,1.00,0.25,1.25,5.00,0.00,17.00,0.00,0.00,0,0,0,0,0,0.000
SC_lobster,South La Jolla State Marine Reserve,2012,8,Inside,11.8,11.0,12.25,1.75,81.75,3.75,2.95,0.246,44.50,18.50,0.00,0.00,11.25,1.00,43.50,2.75,0.00,0,5,12,3,20,0.083
SC_lobster,South La Jolla State Marine Reserve,2012,9,Inside,8.8,7.4,76.00,0.00,24.00,0.00,0.35,0.029,50.00,12.00,0.00,4.50,7.50,14.50,8.50,0.00,0.00,0,2,12,0,14,0.058
SC_lobster,South La Jolla State Marine Reserve,2012,10,Inside,12.0,19.9,0.25,11.50,88.00,0.25,2.8,0.233,10.50,18.25,0.00,0.00,6.50,3.00,69.00,1.50,0.00,0,4,8,3,15,0.063
SC_lobster,South La Jolla State Marine Reserve,2012,11,Inside,12.0,12.4,4.50,10.25,85.25,0.00,1.85,0.154,6.00,20.50,0.00,0.00,4.25,1.75,68.50,0.00,0.00,0,4,12,1,17,0.071
SC_lobster,South La Jolla State Marine Reserve,2012,12,Inside,9.2,1.8,48.25,12.50,37.75,1.50,0.6,0.050,57.50,5.50,16.00,15.50,7.00,0.00,16.00,0.00,0.00,0,1,6,0,7,0.029
SC_lobster,South La Jolla State Marine Reserve,2012,13,Inside,9.3,4.8,64.00,13.50,22.25,0.25,0.7,0.058,64.00,7.75,2.50,7.00,11.25,0.25,19.50,3.50,0.00,0,5,3,2,10,0.042
SC_lobster,South La Jolla State Marine Reserve,2013,14,Inside,13.9,0.2,99.50,0.50,0.00,0.00,0.9,0.075,49.50,15.75,0.00,3.50,2.25,0.00,34.00,31.25,0.00,0,0,0,0,0,0.000
SC_lobster,South La Jolla State Marine Reserve,2013,15,Inside,11.4,1.1,98.40,1.10,0.50,0.00,0.4,0.033,68.00,6.25,0.00,1.50,2.25,1.50,29.50,29.00,0.00,0,0,0,0,0,0.000
SC_lobster,South La Jolla State Marine Reserve,2013,16,Inside,11.1,4.4,9.00,71.50,12.00,7.50,2,0.167,23.75,10.25,0.75,0.00,1.75,0.10,14.25,16.25,0.00,0,2,0,0,2,0.008
SC_lobster,South La Jolla State Marine Reserve,2013,17,Inside,14.0,5.2,41.75,11.00,31.75,16.00,0.85,0.071,49.00,11.00,0.00,0.00,2.50,0.00,15.00,14.75,0.00,0,5,7,2,14,0.058
SC_lobster,South La Jolla State Marine Reserve,2013,18,Inside,16.0,3.6,19.50,55.75,17.50,7.25,0.5,0.042,46.50,14.00,0.00,0.00,1.00,0.00,21.50,24.00,0.00,0,3,1,0,4,0.017
SC_lobster,South La Jolla State Marine Reserve,2013,19,Inside,15.7,1.3,40.25,33.00,15.00,11.75,0.65,0.054,44.00,13.00,0.00,0.00,1.25,1.25,29.00,14.50,0.00,0,2,2,0,4,0.017
SC_lobster,South La Jolla State Marine Reserve,2012,1,Outside,13.2,1.3,25.50,4.25,1.50,68.75,0,0.000,80.25,35.50,0.00,0.00,23.75,25.50,92.00,17.00,0.00,0,0,0,0,0,0.000
SC_lobster,South La Jolla State Marine Reserve,2012,2,Outside,13.0,7.5,0.00,3.50,29.00,66.00,0,0.000,22.00,4.50,1.00,3.00,5.50,12.00,14.50,0.00,0.50,0,2,3,1,6,0.025
SC_lobster,South La Jolla State Marine Reserve,2012,3,Outside,13.4,6.3,30.00,15.00,25.75,28.25,0.25,0.021,22.50,27.00,1.00,0.00,12.00,22.00,39.00,0.00,0.00,1,4,3,0,8,0.033
SC_lobster,South La Jolla State Marine Reserve,2012,4,Outside,4.2,1.5,4.75,0.00,0.00,95.25,0.2,0.017,0.00,0.00,0.25,6.95,0.00,0.00,0.00,0.00,69.75,0,2,0,0,2,0.008
SC_lobster,South La Jolla State Marine Reserve,2012,5,Outside,4.7,4.5,12.75,0.00,0.00,87.25,0,0.000,0.00,0.00,5.75,8.55,0.25,0.00,2.50,0.00,73.75,0,10,8,2,20,0.083
SC_lobster,South La Jolla State Marine Reserve,2012,6,Outside,5.8,2.8,12.75,0.00,0.00,87.25,0.05,0.004,0.00,0.00,3.60,17.50,0.00,0.00,5.00,0.00,71.75,0,26,46,3,75,0.313
SC_lobster,South La Jolla State Marine Reserve,2012,7,Outside,5.2,1.0,4.25,0.00,0.00,95.75,0.05,0.004,0.00,0.00,1.50,16.50,4.00,0.00,5.50,0.00,66.75,0,0,0,0,0,0.000
SC_lobster,South La Jolla State Marine Reserve,2012,8,Outside,5.8,0.2,9.25,0.00,0.00,90.75,0,0.000,0.00,0.00,3.50,0.50,0.50,0.00,9.25,0.00,57.75,0,3,3,0,6,0.025
SC_lobster,South La Jolla State Marine Reserve,2012,9,Outside,5.1,0.0,4.50,0.00,0.00,95.50,0,0.000,0.00,0.00,0.10,0.35,0.00,0.00,2.50,0.00,59.75,0,2,2,0,4,0.017
SC_lobster,South La Jolla State Marine Reserve,2012,10,Outside,12.6,2.8,34.50,0.00,16.75,48.75,0.05,0.004,38.25,10.50,0.00,0.50,20.75,0.50,34.00,0.00,0.00,0,2,18,0,20,0.083
SC_lobster,South La Jolla State Marine Reserve,2012,11,Outside,12.5,3.5,68.50,0.50,13.50,17.50,0.9,0.075,41.50,25.00,9.00,1.25,13.00,6.50,48.00,0.00,0.00,0,0,0,0,0,0.000
SC_lobster,South La Jolla State Marine Reserve,2012,12,Outside,12.3,1.6,40.00,3.00,15.50,36.00,0.15,0.013,58.00,4.00,3.00,5.85,8.75,5.75,38.00,0.00,0.00,0,0,0,0,0,0.000
SC_lobster,South La Jolla State Marine Reserve,2012,13,Outside,12.8,1.9,23.50,2.00,9.75,64.25,0,0.000,32.10,2.50,1.50,4.00,5.75,3.00,22.00,0.00,0.00,0,0,1,0,1,0.004
SC_lobster,South La Jolla State Marine Reserve,2013,14,Outside,11.6,5.6,52.00,3.75,15.50,28.75,1.4,0.117,17.50,9.50,16.25,3.00,4.25,2.00,49.00,16.00,0.00,1,3,3,0,7,0.029
SC_lobster,South La Jolla State Marine Reserve,2013,15,Outside,9.9,5.0,64.50,1.50,22.75,11.25,1.5,0.125,1.50,1.00,28.50,2.50,6.00,0.00,59.50,18.50,0.00,0,14,8,0,22,0.092
SC_lobster,South La Jolla State Marine Reserve,2013,16,Outside,19.4,5.8,33.50,2.50,15.25,48.75,4.55,0.379,16.00,10.50,0.00,0.00,0.75,1.50,24.25,15.00,0.00,0,1,3,2,6,0.025
